type,time,count
greedy,0,32
greedy,49,64
probabilistic,0,1
probabilistic,0,13
probabilistic,1,13
probabilistic,2,1
probabilistic,2,1
probabilistic,2,1
probabilistic,2,1
probabilistic,3,7
probabilistic,3,2
probabilistic,3,13
probabilistic,5,13
probabilistic,6,2
probabilistic,6,1
probabilistic,6,7
probabilistic,7,1
probabilistic,7,13
probabilistic,8,13
probabilistic,10,1
probabilistic,10,1
probabilistic,10,13
probabilistic,11,7
probabilistic,12,4
probabilistic,12,4
probabilistic,13,13
probabilistic,14,7
probabilistic,15,1
probabilistic,15,7
probabilistic,16,1
probabilistic,16,2
probabilistic,16,12
probabilistic,17,13
probabilistic,18,13
probabilistic,20,3
probabilistic,20,13
probabilistic,21,13
probabilistic,23,6
probabilistic,23,13
probabilistic,24,4
probabilistic,25,7
probabilistic,26,2
probabilistic,26,11
probabilistic,27,13
probabilistic,28,1
probabilistic,28,7
probabilistic,29,13
probabilistic,30,1
probabilistic,30,13
probabilistic,32,7
probabilistic,32,7
probabilistic,33,13
probabilistic,34,12
probabilistic,36,12
probabilistic,37,7
probabilistic,37,12
probabilistic,39,7
probabilistic,39,4
probabilistic,40,12
probabilistic,41,13
probabilistic,42,7
probabilistic,43,12
probabilistic,44,7
probabilistic,45,6
probabilistic,45,2
probabilistic,46,13
probabilistic,47,7
probabilistic,48,2
probabilistic,48,4
probabilistic,48,13
probabilistic,50,7
probabilistic,50,4
probabilistic,51,6
probabilistic,51,13
probabilistic,53,2
probabilistic,53,4
probabilistic,53,13
probabilistic,54,4
probabilistic,55,12
probabilistic,56,7
probabilistic,57,13
probabilistic,58,4
probabilistic,58,6
probabilistic,59,13
